article_url,title,date,time,section,author,excerpt,text_body,feat_img_link,feat_img_cation,full_text,is_ergatiko
https://www.parapolitika.gr/ellada/article/327391/ergatiko-atichima-stin-pilea/,Εργατικό ατύχημα στην Πυλαία,2018-09-13,08:41:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,Σε κρίσιμη κατάσταση νοσηλεύεται 63χρονος,"Μάχη για τη ζωή του δίνει ένας 63χρονος, ο οποίος τραυματίστηκε σοβαρά την ώρα που δούλευε στην περιοχή της Πυλαίας στη Θεσσαλονίκης.
Όλα συνέβησαν χθες περίπου στις 16:00. Ο 63χρονος πραγματοποιούσε εργασίες συντήρησης σε κλιματιστικό καταστήματος, όταν έπεσε από τη σκάλα, με αποτέλεσμα να υποστεί σοβαρές κρανιοεγκεφαλικές κακώσεις.
Ο 63χρονος μεταφέρθηκε με ασθενοφόρο του ΕΚΑΒ, στο Ιπποκράτειο Νοσοκομείο, όπου νοσηλεύεται σε κρίσιμη κατάσταση.
ΠΗΓΗ: thestival.gr",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/2018-05/ewj4skzkee2aac5zuhl7.jpg,,"Εργατικό ατύχημα στην Πυλαία Μάχη για τη ζωή του δίνει ένας 63χρονος, ο οποίος τραυματίστηκε σοβαρά την ώρα που δούλευε στην περιοχή της Πυλαίας στη Θεσσαλονίκης.
Όλα συνέβησαν χθες περίπου στις 16:00. Ο 63χρονος πραγματοποιούσε εργασίες συντήρησης σε κλιματιστικό καταστήματος, όταν έπεσε από τη σκάλα, με αποτέλεσμα να υποστεί σοβαρές κρανιοεγκεφαλικές κακώσεις.
Ο 63χρονος μεταφέρθηκε με ασθενοφόρο του ΕΚΑΒ, στο Ιπποκράτειο Νοσοκομείο, όπου νοσηλεύεται σε κρίσιμη κατάσταση.
ΠΗΓΗ: thestival.gr",True
https://www.parapolitika.gr/ellada/article/304506/ergatiko-atichima-stin-knoso/,Εργατικό ατύχημα στην Κνωσό,2018-03-21,10:39:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,Ο εργάτης υπό αδιευκρίνιστες συνθήκες έπεσε από μεγάλο ύψος και μεταφέρθηκε στο νοσοκομείο,"Σε σοβαρή κατάσταση νοσηλεύεται στο Βενιζέλειο Νοσοκομείο Κρήτης ένας 50χρονος, θύμα εργατικού ατυχήματος στην Κνωσό.
Ο εργάτης υπό αδιευκρίνιστες συνθήκες έπεσε από μεγάλο ύψος, τριών περίπου μέτρων, ενώ εκτελούσε εργασίες στον αρχαιολογικό χώρο της Κνωσού.
Το περιστατικό έγινε περίπου στις 9.00 το πρωί και άμεσα σήμανε συναγερμός, με ασθενοφόρο του ΕΚΑΒ να τον παραλαμβάνει και να τον μεταφέρει στο νοσοκομείο.
ΠΗΓΗ: cretapost.gr",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/2017-12/b0pnwft67av8qs7gipuz.jpg,,"Εργατικό ατύχημα στην Κνωσό Σε σοβαρή κατάσταση νοσηλεύεται στο Βενιζέλειο Νοσοκομείο Κρήτης ένας 50χρονος, θύμα εργατικού ατυχήματος στην Κνωσό.
Ο εργάτης υπό αδιευκρίνιστες συνθήκες έπεσε από μεγάλο ύψος, τριών περίπου μέτρων, ενώ εκτελούσε εργασίες στον αρχαιολογικό χώρο της Κνωσού.
Το περιστατικό έγινε περίπου στις 9.00 το πρωί και άμεσα σήμανε συναγερμός, με ασθενοφόρο του ΕΚΑΒ να τον παραλαμβάνει και να τον μεταφέρει στο νοσοκομείο.
ΠΗΓΗ: cretapost.gr",True
https://www.parapolitika.gr/ellada/article/275794/ergatiko-atichima-stin-elefsina/,Εργατικό ατύχημα στην Ελευσίνα,2017-08-31,04:58:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,Διενεργείται προανάκριση από το Κεντρικό Λιμεναρχείο Ελευσίνας,"Λιμενεργάτης τραυματίστηκε στο μέτωπο από αλυσίδα που χρησιμοποιείται για εκφόρτωση εμπορευμάτων και διεκομίσθη στο Γενικό Νοσοκομείο Ελευσίνας «Θριάσιο» για παροχή πρώτων βοηθειών.
Ο 51χρονος που εργαζόταν στο πλοίο «Impala» με σημαία Αντίγκουα και Μπαρμπούντα, τραυματίστηκε κατά την διαδικασία εκφόρτωσης παλετών.
Διενεργείται προανάκριση από το Κεντρικό Λιμεναρχείο Ελευσίνας.
Πηγή: ΑΠΕ",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/2017-08/wbiyepgw42klt5wgwghu.jpg,,"Εργατικό ατύχημα στην Ελευσίνα Λιμενεργάτης τραυματίστηκε στο μέτωπο από αλυσίδα που χρησιμοποιείται για εκφόρτωση εμπορευμάτων και διεκομίσθη στο Γενικό Νοσοκομείο Ελευσίνας «Θριάσιο» για παροχή πρώτων βοηθειών.
Ο 51χρονος που εργαζόταν στο πλοίο «Impala» με σημαία Αντίγκουα και Μπαρμπούντα, τραυματίστηκε κατά την διαδικασία εκφόρτωσης παλετών.
Διενεργείται προανάκριση από το Κεντρικό Λιμεναρχείο Ελευσίνας.
Πηγή: ΑΠΕ",True
https://www.parapolitika.gr/parapolitika-tv/article/1153039/o-golgothas-tis-sudaxis-meta-to-ergatiko-atuhima/,Ο Γολγοθάς της σύνταξης μετά το εργατικό ατύχημα,2021-11-25,11:55:17,,,,,,,Ο Γολγοθάς της σύνταξης μετά το εργατικό ατύχημα nan,True
https://www.parapolitika.gr/ellada/article/259930/ergatiko-atichima-sta-chania-me-enan-travmatia/,Εργατικό ατύχημα στα Χανιά με έναν τραυματία,2017-05-12,04:52:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,Τις συνθήκες του εργατικού ατυχήματος ερευνούν οι αστυνομικές Αρχές,"Εργατικό ατύχημα σημειώθηκε σε πολυκατοικία επί της οδού Παχιανών στα Χανιά. Ένας 47χρονος εργάτης που βρισκόταν σε σκαλωσιά, ξαφνικά έχασε την ισορροπία του και έπεσε στο κενό απο τον τρίτο όροφο της πολυκατοικίας.
Στο σημείο έφτασαν άμεσα διασώστες με ασθενοφόρο του ΕΚΑΒ, οι οποίοι παρέλαβαν τον 47χρονο εργάτη με κρανιοεγκεφαλικές κακώσεις και τον μετέφεραν στο Νοσοκομείο Χανίων.
Τις συνθήκες του εργατικού ατυχήματος ερευνούν οι αστυνομικές αρχές, ενώ στον τόπο του ατυχήματος μετέβη ο προϊστάμενος του τμήματος επιθεώρησης ασφάλειας και υγείας εργασίας Χανίων κ. Νίκος Φραγκονικολάκης.
Όπως τόνισε τα μέτρα ασφαλείας πρέπει να εφαρμόζονται και μάλιστα ανέφερε πως τις προηγούμενες ημέρες επιβλήθηκαν πρόστιμα για τον λόγο αυτόν.
Πηγή flashnews.gr",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/2017-05/5rkws27ipru199uamenx.jpg,,"Εργατικό ατύχημα στα Χανιά με έναν τραυματία Εργατικό ατύχημα σημειώθηκε σε πολυκατοικία επί της οδού Παχιανών στα Χανιά. Ένας 47χρονος εργάτης που βρισκόταν σε σκαλωσιά, ξαφνικά έχασε την ισορροπία του και έπεσε στο κενό απο τον τρίτο όροφο της πολυκατοικίας.
Στο σημείο έφτασαν άμεσα διασώστες με ασθενοφόρο του ΕΚΑΒ, οι οποίοι παρέλαβαν τον 47χρονο εργάτη με κρανιοεγκεφαλικές κακώσεις και τον μετέφεραν στο Νοσοκομείο Χανίων.
Τις συνθήκες του εργατικού ατυχήματος ερευνούν οι αστυνομικές αρχές, ενώ στον τόπο του ατυχήματος μετέβη ο προϊστάμενος του τμήματος επιθεώρησης ασφάλειας και υγείας εργασίας Χανίων κ. Νίκος Φραγκονικολάκης.
Όπως τόνισε τα μέτρα ασφαλείας πρέπει να εφαρμόζονται και μάλιστα ανέφερε πως τις προηγούμενες ημέρες επιβλήθηκαν πρόστιμα για τον λόγο αυτόν.
Πηγή flashnews.gr",True
https://www.parapolitika.gr/ellada/article/82101/ergatiko-atuxima-me-enan-nekro-sto-keratsini/,Εργατικό ατύχημα με έναν νεκρό στο Κερατσίνι,2015-07-08,13:11:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,<p>Προανάκριση διενεργεί το Β΄ Λιμενικό Τμήμα&nbsp;</p>,"Τη ζωή του έχασε ένας 43χρονος το πρωί της Τετάρτης στον Σταθμό Εμπορευματοκιβωτίων Ικονίου, στο λιμάνι Κερατσινίου.
Ο άτυχος άνδρας επέβαινε ως μηχανοδηγός στο ρυμουλκό πλοίο «Χρήστος» (Νηολογίου Πειραιά), όταν, μετά το πέρας της ρυμούλκησης του φορτηγού εμπορευματοκιβωτίων «Hammersmith Bridge», σημαίας Παναμά, κατά τη διαδικασία περισυλλογής του κάβου ρυμούλκησης από τη θάλασσα, αυτός περιπλέχτηκε στη μία από τις δύο προπέλες, με αποτέλεσμα να κοπεί και να εκτιναχτεί, τραυματίζοντάς τον θανάσιμα στο κεφάλι.
Ο 43χρονος μεταφέρθηκε στο Γενικό Κρατικό Νοσοκομείο της Νίκαιας, όπου διαπιστώθηκε ο θάνατός του.
Από το Β΄ Λιμενικό Τμήμα Κερατσινίου του Κεντρικού Λιμεναρχείου Πειραιά, που διενεργεί την προανάκριση, παραγγέλθηκε η διενέργεια νεκροψίας-νεκροτομής, ενώ συνελήφθη ο πλοίαρχος του ρυμουλκού, σχηματίστηκε σε βάρος του δικογραφία και παραπέμπεται στον εισαγγελέα Πρωτοδικών Πειραιά.",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/article/2015-07/ergatikoatixima1.jpg,,"Εργατικό ατύχημα με έναν νεκρό στο Κερατσίνι Τη ζωή του έχασε ένας 43χρονος το πρωί της Τετάρτης στον Σταθμό Εμπορευματοκιβωτίων Ικονίου, στο λιμάνι Κερατσινίου.
Ο άτυχος άνδρας επέβαινε ως μηχανοδηγός στο ρυμουλκό πλοίο «Χρήστος» (Νηολογίου Πειραιά), όταν, μετά το πέρας της ρυμούλκησης του φορτηγού εμπορευματοκιβωτίων «Hammersmith Bridge», σημαίας Παναμά, κατά τη διαδικασία περισυλλογής του κάβου ρυμούλκησης από τη θάλασσα, αυτός περιπλέχτηκε στη μία από τις δύο προπέλες, με αποτέλεσμα να κοπεί και να εκτιναχτεί, τραυματίζοντάς τον θανάσιμα στο κεφάλι.
Ο 43χρονος μεταφέρθηκε στο Γενικό Κρατικό Νοσοκομείο της Νίκαιας, όπου διαπιστώθηκε ο θάνατός του.
Από το Β΄ Λιμενικό Τμήμα Κερατσινίου του Κεντρικού Λιμεναρχείου Πειραιά, που διενεργεί την προανάκριση, παραγγέλθηκε η διενέργεια νεκροψίας-νεκροτομής, ενώ συνελήφθη ο πλοίαρχος του ρυμουλκού, σχηματίστηκε σε βάρος του δικογραφία και παραπέμπεται στον εισαγγελέα Πρωτοδικών Πειραιά.",True
https://www.parapolitika.gr/ellada/article/233667/patra-sto-nosokomeio-ergatis-meta-apo-atuxima/,Πάτρα: Στο νοσοκομείο εργάτης μετά από ατύχημα,2016-09-08,10:23:33,ΕΛΛΑΔΑ,Parapolitika Newsroom,<p>Στο σημείο υπήρχαν πολλά μπάζα και χρειάστηκε η συμβολή των πληρωμάτων δύο ασθενοφόρων του ΕΚΑΒ</p>,"Σοβαρό εργατικό ατύχημα συνέβη στις 11 το πρωί της Πέμπτης στο κέντρο της Πάτρας και συγκεκριμένα στην οδό Γούναρη.
Ένας 40χρονος, ο Μ.Ν., μεταφέρθηκε τραυματισμένος στο Γενικό Νοσοκομείο Πατρών «Άγιος Ανδρέας», όταν έπεσε από σκαλωσιά, μετά από εργασίες που πραγματοποιούσε στο 2ο όροφο πολυκατοικίας.
Στο σημείο υπήρχαν πολλά μπάζα και χρειάστηκε η συμβολή των πληρωμάτων δύο ασθενοφόρων του ΕΚΑΒ, για να παραληφθεί το άτομο, ενώ έσπευσε στο σημείο και τρίτο ασθενοφόρο.
ΠΗΓΗ: patrastimes.gr",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/article/2016-09/ekav2.jpg,,"Πάτρα: Στο νοσοκομείο εργάτης μετά από ατύχημα Σοβαρό εργατικό ατύχημα συνέβη στις 11 το πρωί της Πέμπτης στο κέντρο της Πάτρας και συγκεκριμένα στην οδό Γούναρη.
Ένας 40χρονος, ο Μ.Ν., μεταφέρθηκε τραυματισμένος στο Γενικό Νοσοκομείο Πατρών «Άγιος Ανδρέας», όταν έπεσε από σκαλωσιά, μετά από εργασίες που πραγματοποιούσε στο 2ο όροφο πολυκατοικίας.
Στο σημείο υπήρχαν πολλά μπάζα και χρειάστηκε η συμβολή των πληρωμάτων δύο ασθενοφόρων του ΕΚΑΒ, για να παραληφθεί το άτομο, ενώ έσπευσε στο σημείο και τρίτο ασθενοφόρο.
ΠΗΓΗ: patrastimes.gr",True
https://www.parapolitika.gr/ellada/article/218004/ergatiko-atuxima-sta-naupigeia-ti-salaminas/,Εργατικό ατύχημα στα ναυπηγεία τη Σαλαμίνας,2016-04-13,14:41:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,<p>Στο Τζάνειο&nbsp;νοσηλεύεται νεαρός εργαζόμενος&nbsp;</p>,"Στο Τζάνειο νοσοκομείο μεταφέρθηκε 22χρονος εργαζόμενος, που τραυματίστηκε την Τρίτη 132/4 σε ναυπηγεία στη Σαλαμίνα, στη διάρκεια εργασιών σε ρυμουλκό πλοίο.
Ο 22χρονος που είναι εκτός κινδύνου υπέστη εγκαύματα Α' και Β' βαθμού.
Τα αίτια του ατυχήματος παραμένουν μέχρι στιγμής αδιευκρίνιστα ενώ προανάκριση διενεργείται από το Γ' Λιμενικό Τμήμα της Σαλαμίνας.",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/article/2016-04/1_ships_in_salamina_03.jpg,,"Εργατικό ατύχημα στα ναυπηγεία τη Σαλαμίνας Στο Τζάνειο νοσοκομείο μεταφέρθηκε 22χρονος εργαζόμενος, που τραυματίστηκε την Τρίτη 132/4 σε ναυπηγεία στη Σαλαμίνα, στη διάρκεια εργασιών σε ρυμουλκό πλοίο.
Ο 22χρονος που είναι εκτός κινδύνου υπέστη εγκαύματα Α' και Β' βαθμού.
Τα αίτια του ατυχήματος παραμένουν μέχρι στιγμής αδιευκρίνιστα ενώ προανάκριση διενεργείται από το Γ' Λιμενικό Τμήμα της Σαλαμίνας.",True
https://www.parapolitika.gr/ellada/article/147242/ergatiko-atuxima-se-oruxeio-tis-dei/,Εργατικό ατύχημα σε ορυχείο της ΔΕΗ,2015-02-03,11:52:11,ΕΛΛΑΔΑ,Parapolitika Newsroom,Ο τραυματίας μεταφέρθηκε στο νοσοκομείο Κοζάνης,"Σοβαρό εργατικό ατύχημα σημειώθηκε το πρωί της Τρίτης στο Ορυχείο Καρδιάς της ΔΕΗ.
Μηχάνημα που καθαρίζει τις ταινίες (τύπου Bantam), κατά τη διάρκεια πορείας του, συγκρούστηκε με φορτηγό εργολάβου.
Σύμφωνα με το kozan.gr, από τη σύγκρουση υπέστη μεγάλες υλικές ζημιές η καμπίνα του φορτηγού, προκαλώντας πολύ σοβαρό τραυματισμό στο πόδι του οδηγού.
Ο τραυματίας μεταφέρθηκε στο νοσοκομείο Κοζάνης.",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/parapolitikaold/mediadefaultimagesergatiko-atixima-5.jpg,,"Εργατικό ατύχημα σε ορυχείο της ΔΕΗ Σοβαρό εργατικό ατύχημα σημειώθηκε το πρωί της Τρίτης στο Ορυχείο Καρδιάς της ΔΕΗ.
Μηχάνημα που καθαρίζει τις ταινίες (τύπου Bantam), κατά τη διάρκεια πορείας του, συγκρούστηκε με φορτηγό εργολάβου.
Σύμφωνα με το kozan.gr, από τη σύγκρουση υπέστη μεγάλες υλικές ζημιές η καμπίνα του φορτηγού, προκαλώντας πολύ σοβαρό τραυματισμό στο πόδι του οδηγού.
Ο τραυματίας μεταφέρθηκε στο νοσοκομείο Κοζάνης.",True
https://www.parapolitika.gr/ellada/article/175629/ergatiko-atuxima-me-enan-nekro-sto-keratsini/,Εργατικό ατύχημα με έναν νεκρό στο Κερατσίνι,2015-07-08,13:11:00,ΕΛΛΑΔΑ,Parapolitika Newsroom,<p>Προανάκριση διενεργεί το Β΄ Λιμενικό Τμήμα&nbsp;</p>,"Τη ζωή του έχασε ένας 43χρονος το πρωί της Τετάρτης στον Σταθμό Εμπορευματοκιβωτίων Ικονίου, στο λιμάνι Κερατσινίου.
Ο άτυχος άνδρας επέβαινε ως μηχανοδηγός στο ρυμουλκό πλοίο «Χρήστος» (Νηολογίου Πειραιά), όταν, μετά το πέρας της ρυμούλκησης του φορτηγού εμπορευματοκιβωτίων «Hammersmith Bridge», σημαίας Παναμά, κατά τη διαδικασία περισυλλογής του κάβου ρυμούλκησης από τη θάλασσα, αυτός περιπλέχτηκε στη μία από τις δύο προπέλες, με αποτέλεσμα να κοπεί και να εκτιναχτεί, τραυματίζοντάς τον θανάσιμα στο κεφάλι.
Ο 43χρονος μεταφέρθηκε στο Γενικό Κρατικό Νοσοκομείο της Νίκαιας, όπου διαπιστώθηκε ο θάνατός του.
Από το Β΄ Λιμενικό Τμήμα Κερατσινίου του Κεντρικού Λιμεναρχείου Πειραιά, που διενεργεί την προανάκριση, παραγγέλθηκε η διενέργεια νεκροψίας-νεκροτομής, ενώ συνελήφθη ο πλοίαρχος του ρυμουλκού, σχηματίστηκε σε βάρος του δικογραφία και παραπέμπεται στον εισαγγελέα Πρωτοδικών Πειραιά.",https://s.parapolitika.gr/images/1130x667/jpg/files/migration/images/article/2015-07/ergatikoatixima1.jpg,,"Εργατικό ατύχημα με έναν νεκρό στο Κερατσίνι Τη ζωή του έχασε ένας 43χρονος το πρωί της Τετάρτης στον Σταθμό Εμπορευματοκιβωτίων Ικονίου, στο λιμάνι Κερατσινίου.
Ο άτυχος άνδρας επέβαινε ως μηχανοδηγός στο ρυμουλκό πλοίο «Χρήστος» (Νηολογίου Πειραιά), όταν, μετά το πέρας της ρυμούλκησης του φορτηγού εμπορευματοκιβωτίων «Hammersmith Bridge», σημαίας Παναμά, κατά τη διαδικασία περισυλλογής του κάβου ρυμούλκησης από τη θάλασσα, αυτός περιπλέχτηκε στη μία από τις δύο προπέλες, με αποτέλεσμα να κοπεί και να εκτιναχτεί, τραυματίζοντάς τον θανάσιμα στο κεφάλι.
Ο 43χρονος μεταφέρθηκε στο Γενικό Κρατικό Νοσοκομείο της Νίκαιας, όπου διαπιστώθηκε ο θάνατός του.
Από το Β΄ Λιμενικό Τμήμα Κερατσινίου του Κεντρικού Λιμεναρχείου Πειραιά, που διενεργεί την προανάκριση, παραγγέλθηκε η διενέργεια νεκροψίας-νεκροτομής, ενώ συνελήφθη ο πλοίαρχος του ρυμουλκού, σχηματίστηκε σε βάρος του δικογραφία και παραπέμπεται στον εισαγγελέα Πρωτοδικών Πειραιά.",True
